layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
4,100,50,10,NA,6.250362401948038,35.23662384729922,1.4148494259477107,4.5330346908904025,0.929747211999918,0.6184769229339916
1,5,20,20,NA,80.06598811200433,53.089429873562054,6.826180561112824,5.628994376433305,0.48602609052942863,0.4551375603458709
2,5,20,20,NA,441.1625682761719,157.36508332303464,18.986818147073866,9.619220942817515,0.4018448435305864,0.19765483454929508
3,5,20,20,NA,63.248816759971554,139.71965365559353,5.879545234329243,8.324050222340084,0.4831865053308997,0.15155567371961878
4,5,20,20,NA,84.11820870730318,308.924654135742,6.851984527736559,14.30453079631088,0.43216449687558756,0.04871844367225103
1,10,20,20,NA,43.82065438607087,66.6855686802888,5.13871776660288,6.34899675037002,0.49675737407037374,0.36809604506379967
2,10,20,20,NA,39.06850555599016,54.29888753096907,4.896443234825511,5.671923765500559,0.5644909293216495,0.4528924163626821
3,10,20,20,NA,44.53386147715879,130.83933734388674,5.091178795850375,8.739765793009894,0.507542569261223,0.20951895412813887
4,10,20,20,NA,41.2696009076305,57.725419476283804,4.847366637556035,5.988264226998776,0.5372828798035608,0.4275892272650707
1,15,20,20,NA,45.79792038027149,50.432811590152546,5.266110309353824,5.499771749212615,0.5109819478186443,0.46511607079802886
2,15,20,20,NA,39.914326340453044,48.6844694892694,5.001617151967284,5.35032648035307,0.5518749163567668,0.4867493690129949
3,15,20,20,NA,55.07992850222703,52.76491118096981,5.8755717373274665,5.623826873158709,0.4733815383295539,0.4585353215240702
4,15,20,20,NA,36.78384404870972,50.87763325956909,4.686157019221372,5.474605505460269,0.5909009354129855,0.46850449372150904
1,30,20,20,NA,43.71722762836997,43.066118998251014,5.19735341053076,5.225039210361843,0.5138489986626814,0.5198987103873675
2,30,20,20,NA,29.821637412611516,42.25649656493869,4.243213317775802,5.1358762002257174,0.6656759521182747,0.5261650841038613
3,30,20,20,NA,37.63292067663978,40.25974453226577,4.781269410911258,5.007506210038817,0.5777786642688778,0.5448386941126435
4,30,20,20,NA,27.76542559474932,34.75259065269794,4.049821542923137,4.646521802865817,0.6798606298828135,0.6004737349610478
1,50,20,20,NA,40.74681119527465,39.381362092350386,4.96210492393981,4.806987853438718,0.538073530023053,0.5499529768198765
