layers,neurons,epochs,batch.size,regularization,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
1,5,30,5,NA,36.25454915697721,37.00060026991544,4.542135388372776,4.666929776403437,0.5928002088790404,0.5817262643270015
2,5,30,5,NA,31.13195604132311,138.17506207003345,4.168207154869029,8.110725974159223,0.6449062842752334,0.17198430194155312
3,5,30,5,NA,27.95848764162177,206.64610895953814,3.991356206457347,10.518145425311866,0.6790260602118254,0.11104107020342704
4,5,30,5,NA,23.15585936231948,35.670843501684566,3.427069063922212,4.6492255406131235,0.7427491817977311,0.5948863552147119
1,10,30,5,NA,21.53332185035252,35.28092288955393,3.360967228985746,4.5758119367402,0.7527689625454977,0.6100448584855982
2,10,30,5,NA,24.378410078451566,28.24695076526811,3.5406916807326168,4.171316220243726,0.7264540359125107,0.6772010823223027
3,10,30,5,NA,30.442135920955963,30.95360543852432,3.981875779679488,4.291422247923545,0.7054297620693843,0.6465117519862658
4,10,30,5,NA,24.312049634681895,30.39231269909019,3.523607018711815,4.249222056631073,0.7236780346847173,0.6593922270643234
1,15,30,5,NA,23.509119764578678,30.96242378346701,3.434488788082246,4.2225933486972105,0.7373310321824074,0.6498571893123025
2,15,30,5,NA,22.739232345492262,28.730877283534827,3.313381308256888,4.10135512438263,0.7526389221694251,0.6720871569929174
3,15,30,5,NA,19.576971341202345,28.079557519865563,2.9978637916108006,3.9515349757770557,0.7764933610245912,0.6788828282769402
4,15,30,5,NA,20.518872809515138,30.491287526016443,3.1233520183762233,4.178736697063921,0.7670001754883761,0.6534545761099595
1,30,30,5,NA,22.255681398541917,28.19079463885057,3.181180906813915,4.0339738061020025,0.7540843260461063,0.679803260772999
2,30,30,5,NA,18.01260385169704,26.95799358251143,2.781909571145421,4.031691056719046,0.7960680946474763,0.6941890186574157
3,30,30,5,NA,20.40696539274396,27.877915935480832,3.0026287160683536,3.977449452675211,0.7749202348207802,0.6803073243916941
4,30,30,5,NA,19.526872057826083,30.218119392686567,2.963557233310896,4.166257341132178,0.8022509502355658,0.6651486550216078
1,50,30,5,NA,20.11660855463629,27.8350515399292,2.9438679931935954,3.9127296776152742,0.7974398014917585,0.6832903456915095
2,50,30,5,NA,17.033770088828042,32.10135915286136,2.5992530462439825,4.368437252663294,0.8076440592702854,0.6410712072621001
3,50,30,5,NA,14.683432322068267,29.90369915185268,2.622497853585303,4.092662278997146,0.8445485318627884,0.6632844016399974
4,50,30,5,NA,15.833510631413976,29.81916890296979,2.5835302967661566,3.940543736298363,0.8390807429363347,0.6679970316640051
1,100,30,5,NA,18.695195881523198,28.193638127487024,2.8316832688072537,4.061100449555147,0.8141364343470227,0.6802960680730659
2,100,30,5,NA,15.419533612908207,30.29893420865225,2.4371243424267734,4.274865325892698,0.8507123171030634,0.6598733287622336
3,100,30,5,NA,13.385906652064708,33.42450263949473,2.331730749519619,4.4046799442679365,0.8599159677266155,0.6280178331082333
4,100,30,5,NA,11.716477802109607,29.77798987287421,2.3771085568978876,4.147365757324281,0.8688544648121161,0.6622576616387296
1,5,50,5,NA,23.558651685361966,30.244776295651288,3.4120517913572685,4.247934945005111,0.7323777304418346,0.6568666201274743
2,5,50,5,NA,21.410292169960847,27.608401185947294,3.252321239727021,4.0630777232791315,0.753087131409497,0.6823740371482174
3,5,50,5,NA,27.352590007584737,28.56754525979144,3.879111495764005,4.167467000456992,0.6875442208158208,0.6736852029222749
4,5,50,5,NA,23.903690894814545,31.57308502851509,3.4421335977320044,4.396619809241662,0.7323725192064638,0.6390107079074429
1,10,50,5,NA,21.72126846764268,29.237965059842292,3.1301908747853004,4.185504350359344,0.7544796770233679,0.6705681060969099
2,10,50,5,NA,18.867576398019718,29.03087780317217,2.813934788342316,4.206245697831672,0.7864427743624032,0.6705025396619415
3,10,50,5,NA,21.06380675747884,25.885110178670367,3.0829601275236285,3.944530387579938,0.7581259522222623,0.703928606596822
4,10,50,5,NA,17.8499564084066,29.85921961085574,2.8335767538256,4.146030793828618,0.7980547455368321,0.6578136194133676
1,15,50,5,NA,18.68098118623271,30.56374473836957,2.767145477203633,4.2528419827211845,0.7864054095798274,0.6581660710757873
2,15,50,5,NA,16.081161733629965,30.03788170559512,2.5444255744888893,4.186582589413218,0.8208407524559728,0.6578082494369965
3,15,50,5,NA,17.473081103967626,29.30194119537164,2.7304234244726677,3.9531398877299124,0.8051677576403524,0.669378245400296
4,15,50,5,NA,17.87079637695613,28.23120883829392,2.6542888526235746,4.089438308115067,0.7938971353391274,0.6791246462692814
1,30,50,5,NA,17.786832811880732,27.766593141252216,2.8092555441683014,4.09071825300593,0.8156470264381824,0.6856658939847146
2,30,50,5,NA,12.836078584794441,29.383806739259487,2.3075502556936205,4.043304950797605,0.854471700439522,0.6676286156777729
3,30,50,5,NA,11.635919179780194,27.83393697503486,2.151228584845743,3.8994124324220243,0.8792055107494776,0.6916476072015129
4,30,50,5,NA,11.979265790574791,31.632198483352923,2.1806020154209844,4.259614483489356,0.8630568233682409,0.6486567637544607
1,50,50,5,NA,15.891290168855136,29.87477788377324,2.4259344754036722,3.99228233403819,0.8244668122076597,0.6628079374531037
2,50,50,5,NA,14.174786700918567,29.276351251928197,2.2343236954985795,4.120922986542587,0.8567785600061921,0.6767398923261101
