eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,10,1,0.65,0.9,1000,7.7810822,0.6753425517231311
0.05,10,1,0.65,0.9,574,7.72948,0.6801227696194654
0.1,10,1,0.65,0.9,235,7.8352046,0.671815309318867
0.3,10,1,0.65,0.9,54,8.3928088,0.6305339895706128
0.01,1,3,0.65,0.9,1000,9.1953824,0.5485888435381984
0.05,1,3,0.65,0.9,481,8.8526708,0.5778591699809452
0.1,1,3,0.65,0.9,155,8.9398036,0.5694693422750879
0.3,1,3,0.65,0.9,149,8.7656366,0.5877259087330827
0.01,3,3,0.65,0.9,1000,8.2623488,0.6321486076600746
0.05,3,3,0.65,0.9,518,7.924593000000001,0.6619418638572695
0.1,3,3,0.65,0.9,343,7.9034158,0.6649723831684032
0.3,3,3,0.65,0.9,119,8.1984082,0.6413594493068481
0.01,5,3,0.65,0.9,1000,7.9640532,0.6581706347392161
0.05,5,3,0.65,0.9,780,7.5914466,0.6898534356038452
0.1,5,3,0.65,0.9,325,7.620413,0.6873718837328512
0.3,5,3,0.65,0.9,134,7.9273902,0.6664156068091344
0.01,10,3,0.65,0.9,1000,7.7791354,0.6753577055062423
0.05,10,3,0.65,0.9,581,7.7281732,0.680151357425303
0.1,10,3,0.65,0.9,279,7.8668376,0.670030849254631
