eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_RMSE,CV_R2
0.01,10,1,0.65,0.9,468,5.3199192,0.6716621902770592
0.05,10,1,0.65,0.9,114,5.2917082,0.6711062772319649
0.1,10,1,0.65,0.9,70,5.2573336,0.6767829120862402
0.3,10,1,0.65,0.9,22,5.6645006,0.6383976521068376
0.01,1,3,0.65,0.9,453,5.2035488,0.6769981625876389
0.05,1,3,0.65,0.9,105,5.22612,0.6720689053891623
0.1,1,3,0.65,0.9,78,5.1705556,0.6792186145927839
0.3,1,3,0.65,0.9,16,5.3631354,0.6577663867485832
0.01,3,3,0.65,0.9,467,5.059379,0.696234832317096
0.05,3,3,0.65,0.9,91,5.0531934000000005,0.6978092354827562
0.1,3,3,0.65,0.9,46,5.1776894,0.6872966964111884
0.3,3,3,0.65,0.9,16,5.285449,0.6709531183211122
0.01,5,3,0.65,0.9,445,5.0884674,0.6954733209741156
0.05,5,3,0.65,0.9,117,5.0441418,0.6961816176859291
0.1,5,3,0.65,0.9,46,5.1888494000000005,0.6808194960979879
0.3,5,3,0.65,0.9,25,5.0357958,0.6993140322710236
0.01,10,3,0.65,0.9,453,5.1125536,0.6931785692629752
0.05,10,3,0.65,0.9,117,5.0142162,0.7009990008650147
0.1,10,3,0.65,0.9,50,5.2074714,0.6818600062110819
0.3,10,3,0.65,0.9,22,5.3671732,0.6585142912126787
0.01,1,5,0.65,0.9,516,5.1521754,0.6804832088849057
0.05,1,5,0.65,0.9,91,5.2166076,0.6753287599247704
0.1,1,5,0.65,0.9,80,5.1458092,0.6802710057190163
0.3,1,5,0.65,0.9,16,5.2829428,0.6682885672651455
0.01,3,5,0.65,0.9,451,5.0140364,0.6993952508839026
0.05,3,5,0.65,0.9,92,4.9870464,0.7040303662295624
0.1,3,5,0.65,0.9,46,4.9711662,0.7052868230273655
0.3,3,5,0.65,0.9,13,5.019893,0.71016656625463
0.01,5,5,0.65,0.9,453,4.998156,0.70141210754425
0.05,5,5,0.65,0.9,82,5.0609974,0.6986753211603843
0.1,5,5,0.65,0.9,46,5.0257688,0.7037900449054479
0.3,5,5,0.65,0.9,14,5.1087142,0.6940677659377771
0.01,10,5,0.65,0.9,453,4.9974153999999995,0.7018284625596324
0.05,10,5,0.65,0.9,86,5.0628112,0.6981938619428869
0.1,10,5,0.65,0.9,54,4.9754636,0.706442387815617
0.3,10,5,0.65,0.9,13,5.2390776,0.6829550273970363
0.01,1,7,0.65,0.9,467,5.1437498,0.6823091097176198
0.05,1,7,0.65,0.9,129,5.157598,0.6791483500552871
0.1,1,7,0.65,0.9,80,5.1502694,0.684529162997901
0.3,1,7,0.65,0.9,26,5.3441958,0.6626781721291274
0.01,3,7,0.65,0.9,449,4.9532692,0.7060875100405006
0.05,3,7,0.65,0.9,91,4.9292046,0.7082581674778713
0.1,3,7,0.65,0.9,38,4.8597694,0.7232616939031241
0.3,3,7,0.65,0.9,23,5.0846794,0.700796034325179
0.01,5,7,0.65,0.9,450,4.968381,0.7042787251018736
0.05,5,7,0.65,0.9,100,5.0319732,0.6966807585199472
0.1,5,7,0.65,0.9,50,4.9297016,0.7054671154883442
0.3,5,7,0.65,0.9,14,5.0516912,0.7012166269657858
0.01,10,7,0.65,0.9,450,4.9716904,0.703822533984945
0.05,10,7,0.65,0.9,102,5.0266012,0.6970701788313736
0.1,10,7,0.65,0.9,42,4.9309972,0.7080956783222209
0.3,10,7,0.65,0.9,16,5.027599,0.7024117103118002
0.01,1,1,0.8,0.9,409,5.3618352,0.6606825610563047
0.05,1,1,0.8,0.9,95,5.408743,0.6504891765881823
0.1,1,1,0.8,0.9,46,5.3403164,0.6574132986831427
0.3,1,1,0.8,0.9,17,5.2788146000000005,0.6620373261541853
0.01,3,1,0.8,0.9,457,5.192517,0.6825743980884335
0.05,3,1,0.8,0.9,130,5.1859458,0.6855937004735536
0.1,3,1,0.8,0.9,60,5.186199,0.6866131353095948
0.3,3,1,0.8,0.9,18,5.730613,0.6205433646318811
0.01,5,1,0.8,0.9,462,5.3101514,0.6730184505173465
0.05,5,1,0.8,0.9,136,5.2749746,0.6743809094046598
0.1,5,1,0.8,0.9,74,5.3054122,0.6763301985382641
0.3,5,1,0.8,0.9,41,5.7245298,0.6237668401106236
0.01,10,1,0.8,0.9,499,5.3875568000000005,0.6641475938952905
0.05,10,1,0.8,0.9,106,5.3374442,0.6693547650737459
0.1,10,1,0.8,0.9,45,5.3345054,0.6711894428282966
0.3,10,1,0.8,0.9,32,5.819179800000001,0.6103007296138706
0.01,1,3,0.8,0.9,465,5.310802,0.6637742788523276
0.05,1,3,0.8,0.9,95,5.3910986,0.6521377804081927
0.1,1,3,0.8,0.9,46,5.3384412,0.6574745719948549
0.3,1,3,0.8,0.9,17,5.2581692,0.6646354512972693
0.01,3,3,0.8,0.9,453,5.1392802,0.6886486554126247
