layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
4,100,50,3,NA,0.001,NA,0,27.097440894681935,38.612444501653215,3.8551900107296517,4.732576523749038,0.8501094813251705,0.590967374709266
1,5,25,5,NA,0.001,NA,0,29.491886130570816,35.55656403314021,4.172189856478773,4.705331894788869,0.6586265069799162,0.5950959619951622
2,5,25,5,NA,0.001,NA,0,24.22721650298174,122.14687994681148,3.682622485155666,7.712466606585091,0.7360100515950575,0.25981963511012407
3,5,25,5,NA,0.001,NA,0,30.450915382883096,40.960035736691125,4.170268165400538,5.040735530495228,0.6585850858388392,0.5381147710338333
4,5,25,5,NA,0.001,NA,0,26.59963641359779,35.74081697356903,3.7610970879624155,4.690617396419638,0.7172887531668345,0.5888703643669942
1,10,25,5,NA,0.001,NA,0,23.85914411327396,32.89509380942798,3.5315339873368523,4.513823709131647,0.7226523178720948,0.627111967265712
2,10,25,5,NA,0.001,NA,0,26.86255181961257,31.841368839390974,3.9668881719556546,4.518405795352395,0.6923546350130638,0.6358680750354612
3,10,25,5,NA,0.001,NA,0,25.254473519896305,29.3104856839631,3.7703026698374105,4.353857415655615,0.7114858602046858,0.6658624354858613
4,10,25,5,NA,0.001,NA,0,22.00163620988408,30.13055413433335,3.541822136716719,4.280398625540936,0.7491322383277169,0.652901726104383
1,20,25,5,NA,0.001,NA,0,22.224408942685518,32.89753804595648,3.289084651040844,4.478856404808606,0.7440193069559189,0.6258381125027799
2,20,25,5,NA,0.001,NA,0,22.806915338022993,31.40508035316582,3.525044376819656,4.425949525427689,0.7368307313382357,0.6405092885339971
3,20,25,5,NA,0.001,NA,0,22.455369637993265,29.855797433272688,3.202761431021872,4.285710784740173,0.741900861959881,0.657945547051535
4,20,25,5,NA,0.001,NA,0,19.267280557193057,28.946702117571792,3.0232195696530124,4.253249713522689,0.7797476381772668,0.669111886039321
1,30,25,5,NA,0.001,NA,0,19.68656144923154,31.367754107346435,2.9480411660843515,4.312255805747763,0.7770906856168831,0.6460412917889435
2,30,25,5,NA,0.001,NA,0,19.147271425201378,27.490753581767272,2.9532957805418287,4.124654708828617,0.7809457892751541,0.6822332781632602
3,30,25,5,NA,0.001,NA,0,17.999240588203133,31.06650076964473,2.8279526380791253,4.173853728511539,0.7966945283401977,0.6631042895082998
4,30,25,5,NA,0.001,NA,0,20.28761937835149,30.325556876519695,2.988469075508432,4.23205070002568,0.7754236395537659,0.6507079761282767
1,50,25,5,NA,0.001,NA,0,18.691001184822753,33.01992578153728,2.852948905878298,4.433982177130818,0.7839189767898543,0.6255802743320171
2,50,25,5,NA,0.001,NA,0,15.939553317752859,31.436663722347035,2.7783379674101867,4.279760870182964,0.8173942805302276,0.643414094686333
3,50,25,5,NA,0.001,NA,0,18.141611520809974,34.32799660709893,2.919140495260945,4.383122285599981,0.7937484382367641,0.617467863982677
4,50,25,5,NA,0.001,NA,0,15.168445031477798,36.023234163441465,2.509489600385806,4.560354384932892,0.8329290560398862,0.5986800154782748
1,100,25,5,NA,0.001,NA,0,19.128029325568846,28.33014707661749,2.8236708951038874,4.0509409622383945,0.7986560925963725,0.6763459688158704
2,100,25,5,NA,0.001,NA,0,14.375573903358926,37.81250919683066,2.5071429540599137,4.676326200783537,0.8385206074804138,0.5827341319590257
3,100,25,5,NA,0.001,NA,0,15.031402055044929,35.962759188991015,2.5509331612322153,4.498345749399443,0.8376151628521605,0.5979722111047825
4,100,25,5,NA,0.001,NA,0,12.340655586377821,31.53542001740804,2.271159561084393,4.485812745574742,0.8627938659201342,0.6381649933811232
1,5,50,5,NA,0.001,NA,0,23.171275502418897,28.738178786716762,3.2677227327904457,4.096949211931333,0.7322690847344724,0.668532011281849
2,5,50,5,NA,0.001,NA,0,24.325313077424294,29.251528305616493,3.4160442312534096,4.216184036292809,0.7176287743350179,0.663190147056622
3,5,50,5,NA,0.001,NA,0,25.369091299023584,216.02646572989107,3.714440893641536,10.87651075787004,0.7057351085604385,0.08196089151257638
4,5,50,5,NA,0.001,NA,0,278.8203122780562,30.678884941370317,14.180213155066705,4.342076836761025,0.04968144052899363,0.6434110891371682
1,10,50,5,NA,0.001,NA,0,20.089272337582823,30.9850625220297,3.023947009865574,4.219894052937427,0.7709830014337035,0.6452838197594589
2,10,50,5,NA,0.001,NA,0,20.309242956909745,31.20455483724509,3.0567389277736026,4.38980563417245,0.7684952990828955,0.6438365192515145
3,10,50,5,NA,0.001,NA,0,19.166761824275397,29.573531316952256,2.95742528648087,4.275221920892398,0.7773204662732893,0.6599204606541219
4,10,50,5,NA,0.001,NA,0,19.670998314051186,32.0750291966437,2.9578359385969515,4.286717819324844,0.7718868802769013,0.6285936935012848
1,20,50,5,NA,0.001,NA,0,18.765252474332225,30.969791090846428,2.7928663688952335,4.151336202631515,0.7819741097335952,0.6580546124454395
2,20,50,5,NA,0.001,NA,0,17.454090609252372,29.317097700466757,2.6394860328005,4.143373503999509,0.7988716003475715,0.6656958518653027
3,20,50,5,NA,0.001,NA,0,12.84345011478902,30.984701570642766,2.440522154104938,4.094043052467672,0.8535553713979253,0.6518829938022515
4,20,50,5,NA,0.001,NA,0,14.501692687666845,31.636780081462952,2.4334064010901786,4.2337655844095945,0.832416033185267,0.6488742066155924
1,30,50,5,NA,0.001,NA,0,16.369017702214798,31.629723529784318,2.467047020379411,4.3928265144490695,0.8149617248562406,0.645247565484377
2,30,50,5,NA,0.001,NA,0,13.61686182606746,37.62305331870685,2.2837205832144836,4.639751763998277,0.8422588067871238,0.5798330956292088
3,30,50,5,NA,0.001,NA,0,12.941948771278534,34.22881288703596,2.3026586777820173,4.386107568499635,0.8516505719005731,0.6212265743666437
4,30,50,5,NA,0.001,NA,0,11.4561651071468,31.75813334412538,1.9313548935360523,4.2421017873872024,0.8770731459903257,0.6405852686459292
1,50,50,5,NA,0.001,NA,0,19.32539617696963,31.486832090488743,2.823984755142026,4.247255083344887,0.8170914153432548,0.6497886653395839
2,50,50,5,NA,0.001,NA,0,12.797917234111827,32.42964113784098,2.148153321420945,4.410945232063245,0.8891529664050042,0.6328764344586171
3,50,50,5,NA,0.001,NA,0,13.073679718514294,34.184539784986086,2.44410592252867,4.2897682450807695,0.907462918530414,0.6158090463895407
4,50,50,5,NA,0.001,NA,0,9.212015417012937,37.289824516962234,1.6749216641683722,4.514699553404654,0.8936595752224037,0.5937620834352785
1,100,50,5,NA,0.001,NA,0,12.205496358120826,30.97221461624994,2.139580985332242,4.259787748254241,0.8584705076595546,0.6534665055561764
2,100,50,5,NA,0.001,NA,0,11.326305034641313,38.43636339700226,2.2559527660771246,4.703890400435457,0.8717638879312984,0.5786582007023755
3,100,50,5,NA,0.001,NA,0,8.863572056230137,40.68461244075334,2.012805068351868,4.641977343250713,0.9153403019896162,0.5793275730095252
4,100,50,5,NA,0.001,NA,0,8.632375191852608,36.00193858541284,1.7731800174271104,4.6373458685197715,0.9031137018899636,0.6036806678724022
1,5,25,10,NA,0.001,NA,0,42.86678057911147,49.89863892911656,5.044551723723248,5.249877223481271,0.5261081422441276,0.5071487788617692
