layers,neurons,epochs,batch.size,regularization,selection,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
3,10,25,10,NA,0,22.753668448775684,49.519022064416994,3.165005415596574,5.188420282912883,0.8311518944572142,0.6442083382229561
4,10,25,10,NA,0,25.7782918222297,53.916364077155166,3.3919055838603662,5.371557853641136,0.8068236000558173,0.6133743786374994
1,20,25,10,NA,0,27.700303225487048,50.94333727445959,3.444387608760673,5.224575132142918,0.8207914253858898,0.6437722144574446
2,20,25,10,NA,0,21.29594435873563,49.57683229628319,3.241126212664271,5.086015344287718,0.8438359352269307,0.650503518688153
3,20,25,10,NA,0,21.94317505538572,55.847810921824,3.0627024792141713,5.470503798323208,0.8577507002098849,0.6081025088997641
4,20,25,10,NA,0,17.373166326601254,52.512377277805335,2.8358489704825525,5.391149983101778,0.8684080738132262,0.6209489649301642
1,50,25,10,NA,0,19.232603190512112,56.00533847870429,2.835853351989771,5.546074190303524,0.8654437887771091,0.6138182126787588
2,50,25,10,NA,0,21.817154003057134,62.22144600310631,3.0816544769148355,5.711343338804869,0.8728382033042874,0.5790453983406778
3,50,25,10,NA,0,11.95678619237016,54.01460844204897,2.2408567628585936,5.458092730601287,0.9100003617829291,0.6158668359655984
4,50,25,10,NA,0,13.858760413247692,56.00500763729659,2.4353851323504467,5.479341193106088,0.9032813957769532,0.6199032434879704
1,100,25,10,NA,0,17.32459545316006,55.714490916498114,2.6810910381807984,5.518208641539273,0.8809499230083171,0.6324737964035375
2,100,25,10,NA,0,15.963845951808132,58.864951434756136,2.699252172290372,5.718573736622966,0.9025624745746321,0.5933000860726955
3,100,25,10,NA,0,11.414412487009336,64.43063644551948,2.1934171285925195,5.818620867907856,0.916031674631244,0.5610987771955714
4,100,25,10,NA,0,11.884985692077752,58.13906659454099,2.3627706462533444,5.55619812001349,0.9127220126731611,0.5962063726887109
1,200,25,10,NA,0,26.049743656730588,54.87808506397487,3.559177229247811,5.498076838118785,0.8804731059430274,0.6193345448257211
2,200,25,10,NA,0,15.679914308563713,54.634163762345324,2.640443159750801,5.506990096385979,0.9161692484667513,0.6132900980703165
3,200,25,10,NA,0,10.369076118108817,53.276111731862066,2.0894761077637867,5.307906201972021,0.924917466731505,0.6198480852479049
4,200,25,10,NA,0,12.270466981718664,61.307757748726594,2.303690201340749,5.631114356536418,0.9122354293815582,0.5861147497474318
1,5,50,10,NA,0,27.645873428672665,53.81507545211975,3.413500298310372,5.439355162181425,0.7937320005051465,0.6137056418408393
