layers,neurons,epochs,batch.size,regularization,regularization_factor,garson_selection,dropout_rate,MSE_training,MSE_CV,MAE_training,MAE_CV,R2_training,R2_CV
4,50,25,5,NA,0.001,NA,0,14.196619175981912,58.71138388965282,2.5916885115213186,5.641993483094586,0.8950877958581483,0.5867124344496524
1,100,25,5,NA,0.001,NA,0,14.24734486300628,57.71005802504843,2.588584308854786,5.624011829419192,0.8920060722592346,0.6005848950398226
2,100,25,5,NA,0.001,NA,0,13.521419332851144,51.689905741684946,2.4345119487875615,5.187982749294817,0.906910443606436,0.6302073294199982
3,100,25,5,NA,0.001,NA,0,16.604015046562523,55.68442588734568,2.7624514873780526,5.471884873635522,0.9127258267452395,0.599790497992951
4,100,25,5,NA,0.001,NA,0,14.068810422925212,53.922989318562514,2.4915460340677473,5.30123524749371,0.912856910344635,0.6240735342741186
1,200,25,5,NA,0.001,NA,0,14.351699668447205,58.50844188499451,2.4756300778428253,5.783768840644633,0.9037542646756297,0.6000658421931097
2,200,25,5,NA,0.001,NA,0,13.490631739689313,56.140770499870264,2.408658225593866,5.441038642224659,0.9117245385346148,0.6036316039638204
3,200,25,5,NA,0.001,NA,0,12.347450118287746,52.9498006813813,2.315778790710577,5.314803621266142,0.9130615735584543,0.6262749637778703
4,200,25,5,NA,0.001,NA,0,13.637524916314863,50.334439783923486,2.6651435119681732,5.21175011004089,0.9099697541373414,0.6322822009370815
1,5,50,5,NA,0.001,NA,0,24.929365319221393,54.40032951123924,3.3367533049878846,5.548448578047294,0.8134023489363251,0.6245548329834861
2,5,50,5,NA,0.001,NA,0,22.888934347031835,59.80375882696971,3.20813813190305,5.706945749711716,0.8273145490317563,0.5955198961221113
3,5,50,5,NA,0.001,NA,0,24.909182982807934,72.55625780440535,3.3242573050325332,6.184386972371313,0.815770742349448,0.48113484109937327
4,5,50,5,NA,0.001,NA,0,29.58932082008013,57.15363642064969,3.651583402759743,5.594121630988286,0.8355654713832731,0.5981218793890304
1,10,50,5,NA,0.001,NA,0,20.164933276587213,56.44479135331074,2.936584694564276,5.6801030969431565,0.8529176301274052,0.6139549321381531
2,10,50,5,NA,0.001,NA,0,15.306743096930592,53.488359477976445,2.5131383459015986,5.503080816012934,0.8914014210425633,0.6270184464834748
3,10,50,5,NA,0.001,NA,0,19.991137462999788,57.98279293293812,2.916301765963457,5.612524478421982,0.8487101488512735,0.602700234741259
4,10,50,5,NA,0.001,NA,0,22.12743095643445,56.27806567974689,3.220069767403344,5.518153255990478,0.875715475849818,0.6052342715057338
1,50,50,5,NA,0.001,NA,0,12.474457265456447,58.433324182225896,2.263170963246233,5.748189055090763,0.910722883120372,0.599330555425298
