selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
FALSE,0.01, 5,100,0.70,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,100,0.70,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,100,0.70,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,100,0.70,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,100,0.70,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5,100,0.70,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5,100,0.70,0.50,gbdt,336,7.83014934984274
TRUE,0.01, 8,100,0.70,0.50,gbdt,1000,7.4263878005340365
FALSE,0.01, 8,100,0.70,0.50,gbdt,997,7.584643577615126
TRUE,0.05, 8,100,0.70,0.50,gbdt,994,7.237171462062366
FALSE,0.05, 8,100,0.70,0.50,gbdt,995,7.401586543486853
TRUE,0.10, 8,100,0.70,0.50,gbdt,823,7.278089110415983
FALSE,0.10, 8,100,0.70,0.50,gbdt,998,7.486001449751028
TRUE,0.30, 8,100,0.70,0.50,gbdt,287,7.703888789261224
FALSE,0.30, 8,100,0.70,0.50,gbdt,134,8.114920684290524
TRUE,0.01,10,100,0.70,0.50,gbdt,1000,7.399473986974037
FALSE,0.01,10,100,0.70,0.50,gbdt,1000,7.547940771910194
TRUE,0.05,10,100,0.70,0.50,gbdt,1000,7.189221178556338
FALSE,0.05,10,100,0.70,0.50,gbdt,999,7.34325277422605
TRUE,0.10,10,100,0.70,0.50,gbdt,619,7.268496597540078
FALSE,0.10,10,100,0.70,0.50,gbdt,575,7.576304665202268
TRUE,0.30,10,100,0.70,0.50,gbdt,158,7.683235264170085
FALSE,0.30,10,100,0.70,0.50,gbdt,176,8.026647948659175
TRUE,0.01, 1,200,0.70,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,200,0.70,0.50,gbdt,1000,9.068742092807907
